127.0.0.1 - - [27/Nov/2018:17:47:55 +0100] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [27/Nov/2018:17:47:55 +0100] "GET /TaxiAppWEB/SignUp? HTTP/1.1" 200 1240
0:0:0:0:0:0:0:1 - - [27/Nov/2018:17:48:00 +0100] "GET /TaxiAppWEB/Main HTTP/1.1" 200 5405
0:0:0:0:0:0:0:1 - - [27/Nov/2018:17:48:03 +0100] "GET /TaxiAppWEB/SignUp? HTTP/1.1" 200 1240
0:0:0:0:0:0:0:1 - - [27/Nov/2018:17:48:14 +0100] "POST /TaxiAppWEB/SignUp? HTTP/1.1" 200 1240
0:0:0:0:0:0:0:1 - - [27/Nov/2018:17:52:47 +0100] "GET /TaxiAppWEB/SignUp? HTTP/1.1" 200 1313
0:0:0:0:0:0:0:1 - - [27/Nov/2018:17:52:55 +0100] "GET /TaxiAppWEB/Main HTTP/1.1" 200 5405
0:0:0:0:0:0:0:1 - - [27/Nov/2018:17:52:56 +0100] "GET /TaxiAppWEB/Main HTTP/1.1" 200 5405
0:0:0:0:0:0:0:1 - - [27/Nov/2018:17:52:58 +0100] "GET /TaxiAppWEB/SignUp? HTTP/1.1" 200 1313
0:0:0:0:0:0:0:1 - - [27/Nov/2018:17:53:01 +0100] "POST /TaxiAppWEB/SignUp? HTTP/1.1" 200 1313
0:0:0:0:0:0:0:1 - - [27/Nov/2018:17:53:04 +0100] "POST /TaxiAppWEB/SignUp? HTTP/1.1" 200 1313
0:0:0:0:0:0:0:1 - - [27/Nov/2018:17:54:15 +0100] "POST /TaxiAppWEB/SignUp? HTTP/1.1" 200 1314
0:0:0:0:0:0:0:1 - - [27/Nov/2018:17:54:20 +0100] "POST /TaxiAppWEB/SignUp? HTTP/1.1" 200 1314
0:0:0:0:0:0:0:1 - - [27/Nov/2018:17:54:21 +0100] "POST /TaxiAppWEB/SignUp? HTTP/1.1" 200 1314
0:0:0:0:0:0:0:1 - - [27/Nov/2018:17:54:23 +0100] "POST /TaxiAppWEB/SignUp? HTTP/1.1" 200 1314
0:0:0:0:0:0:0:1 - - [27/Nov/2018:17:56:34 +0100] "POST /TaxiAppWEB/SignUp? HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [27/Nov/2018:17:56:36 +0100] "POST /TaxiAppWEB/Login HTTP/1.1" 200 1258
0:0:0:0:0:0:0:1 - - [27/Nov/2018:17:56:50 +0100] "GET /TaxiAppWEB/SignUp? HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [27/Nov/2018:17:57:01 +0100] "GET /TaxiAppWEB/Logoff HTTP/1.1" 200 22
