127.0.0.1 - - [29/Dec/2018:19:22:48 +0100] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/Dec/2018:19:23:27 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3942
0:0:0:0:0:0:0:1 - - [29/Dec/2018:19:26:47 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 4187
0:0:0:0:0:0:0:1 - - [29/Dec/2018:19:27:32 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3942
0:0:0:0:0:0:0:1 - - [29/Dec/2018:19:43:34 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3975
0:0:0:0:0:0:0:1 - - [29/Dec/2018:19:44:12 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3998
0:0:0:0:0:0:0:1 - - [29/Dec/2018:19:44:18 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3998
0:0:0:0:0:0:0:1 - - [29/Dec/2018:19:44:58 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3996
0:0:0:0:0:0:0:1 - - [29/Dec/2018:19:45:37 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3997
0:0:0:0:0:0:0:1 - - [29/Dec/2018:19:46:42 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3737
0:0:0:0:0:0:0:1 - - [29/Dec/2018:19:47:46 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3790
0:0:0:0:0:0:0:1 - - [29/Dec/2018:19:49:15 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3812
0:0:0:0:0:0:0:1 - - [29/Dec/2018:19:49:39 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3812
0:0:0:0:0:0:0:1 - - [29/Dec/2018:19:51:00 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3924
0:0:0:0:0:0:0:1 - - [29/Dec/2018:19:54:02 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3818
0:0:0:0:0:0:0:1 - - [29/Dec/2018:19:55:06 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3840
0:0:0:0:0:0:0:1 - - [29/Dec/2018:19:55:54 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3850
0:0:0:0:0:0:0:1 - - [29/Dec/2018:19:56:54 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3860
0:0:0:0:0:0:0:1 - - [29/Dec/2018:20:03:31 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3920
0:0:0:0:0:0:0:1 - - [29/Dec/2018:20:04:07 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [29/Dec/2018:20:04:11 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [29/Dec/2018:20:06:39 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3920
0:0:0:0:0:0:0:1 - - [29/Dec/2018:20:07:16 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3864
0:0:0:0:0:0:0:1 - - [29/Dec/2018:20:16:07 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3845
0:0:0:0:0:0:0:1 - - [29/Dec/2018:20:16:50 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3995
0:0:0:0:0:0:0:1 - - [29/Dec/2018:20:18:09 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3942
0:0:0:0:0:0:0:1 - - [29/Dec/2018:20:18:56 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3761
0:0:0:0:0:0:0:1 - - [29/Dec/2018:20:19:26 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3754
0:0:0:0:0:0:0:1 - - [29/Dec/2018:20:19:47 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3754
0:0:0:0:0:0:0:1 - - [29/Dec/2018:20:20:22 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3753
0:0:0:0:0:0:0:1 - - [29/Dec/2018:20:21:48 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3735
0:0:0:0:0:0:0:1 - - [29/Dec/2018:20:23:02 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3750
0:0:0:0:0:0:0:1 - - [29/Dec/2018:20:23:33 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3756
0:0:0:0:0:0:0:1 - - [29/Dec/2018:20:24:22 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3781
0:0:0:0:0:0:0:1 - - [29/Dec/2018:20:25:04 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3740
0:0:0:0:0:0:0:1 - - [29/Dec/2018:20:26:41 +0100] "GET /TaxiAppWEB/AssignDispecer HTTP/1.1" 200 3773
